scheme,size,rep,gen_ms,verify_ms,size_bytes
VESTA-256,500,0,15.007,0.308,339
VESTA-2048,500,0,409.138,1.375,1683
MHT,500,0,0.035,0.051,2286
VESTA-256,500,1,17.561,0.375,339
VESTA-2048,500,1,395.072,1.583,1683
MHT,500,1,0.036,0.055,2286
VESTA-256,500,2,17.298,0.357,339
VESTA-2048,500,2,402.497,1.356,1683
MHT,500,2,0.04,0.05,2286
VESTA-256,500,3,17.909,0.331,339
VESTA-2048,500,3,403.242,1.544,1683
MHT,500,3,0.04,0.061,2286
VESTA-256,500,4,14.803,0.313,339
VESTA-2048,500,4,410.001,1.34,1683
MHT,500,4,0.034,0.049,2286
VESTA-256,1000,0,31.614,0.292,339
VESTA-2048,1000,0,818.225,1.42,1683
MHT,1000,0,0.041,0.055,2521
VESTA-256,1000,1,30.222,0.318,339
VESTA-2048,1000,1,795.67,1.457,1683
MHT,1000,1,0.043,0.058,2521
VESTA-256,1000,2,32.578,0.362,339
VESTA-2048,1000,2,792.676,1.525,1683
MHT,1000,2,0.047,0.071,2521
VESTA-256,1000,3,31.983,0.363,339
VESTA-2048,1000,3,776.826,1.258,1681
MHT,1000,3,0.036,0.052,2521
VESTA-256,1000,4,34.276,0.33,339
VESTA-2048,1000,4,799.87,1.312,1683
MHT,1000,4,0.036,0.051,2521
VESTA-256,2000,0,64.229,0.359,344
VESTA-2048,2000,0,1595.957,1.326,1688
MHT,2000,0,0.081,0.061,2759
VESTA-256,2000,1,63.107,0.331,346
VESTA-2048,2000,1,1606.913,1.38,1690
MHT,2000,1,0.088,0.08,2760
VESTA-256,2000,2,62.7,0.458,344
VESTA-2048,2000,2,1625.135,1.438,1688
MHT,2000,2,0.088,0.068,2759
VESTA-256,2000,3,61.278,0.387,344
VESTA-2048,2000,3,1592.295,1.494,1688
MHT,2000,3,0.079,0.064,2759
VESTA-256,2000,4,62.193,0.407,344
VESTA-2048,2000,4,1619.184,1.424,1688
MHT,2000,4,0.1,0.068,2759
VESTA-256,5000,0,156.784,0.391,344
VESTA-2048,5000,0,4023.833,1.438,1688
MHT,5000,0,0.04,0.065,3290
VESTA-256,5000,1,153.466,0.381,346
VESTA-2048,5000,1,4036.232,1.361,1690
MHT,5000,1,0.039,0.066,3308
VESTA-256,5000,2,155.313,0.415,344
VESTA-2048,5000,2,4033.868,1.67,1688
MHT,5000,2,0.049,0.079,3221
VESTA-256,5000,3,156.277,0.405,344
VESTA-2048,5000,3,4018.943,1.607,1688
MHT,5000,3,0.041,0.065,3221
VESTA-256,5000,4,157.082,0.389,344
VESTA-2048,5000,4,4004.864,1.451,1688
MHT,5000,4,0.051,0.082,3308
VESTA-256,10000,0,322.59,0.489,344
VESTA-2048,10000,0,8059.097,1.555,1688
MHT,10000,0,0.06,0.087,3624
VESTA-256,10000,1,321.501,0.423,346
VESTA-2048,10000,1,8043.681,1.573,1690
MHT,10000,1,0.049,0.075,3455
VESTA-256,10000,2,309.13,0.337,344
VESTA-2048,10000,2,8118.964,1.392,1688
MHT,10000,2,0.043,0.068,3522
VESTA-256,10000,3,315.37,0.488,344
VESTA-2048,10000,3,8104.977,1.37,1688
MHT,10000,3,0.047,0.07,3454
VESTA-256,10000,4,318.939,0.366,344
VESTA-2048,10000,4,8032.531,1.458,1688
MHT,10000,4,0.049,0.078,3454
SMT,500,0,0.297,1.173,49283
SMT,500,1,0.314,1.111,49283
SMT,500,2,0.291,1.058,49283
SMT,500,3,0.368,1.223,49283
SMT,500,4,0.34,1.246,49283
SMT,1000,0,0.329,1.102,49283
SMT,1000,1,0.334,1.22,49283
SMT,1000,2,0.335,1.139,49283
SMT,1000,3,0.292,1.006,49283
SMT,1000,4,0.321,1.296,49283
SMT,2000,0,0.358,1.344,49288
SMT,2000,1,0.367,1.096,49290
SMT,2000,2,0.379,1.11,49288
SMT,2000,3,0.362,1.175,49288
SMT,2000,4,0.403,1.11,49288
SMT,5000,0,0.457,1.061,49288
SMT,5000,1,0.428,1.089,49290
SMT,5000,2,0.433,1.343,49288
SMT,5000,3,0.496,1.238,49288
SMT,5000,4,0.504,1.309,49288
SMT,10000,0,0.533,1.288,49288
SMT,10000,1,0.669,1.114,49290
SMT,10000,2,0.514,1.085,49288
SMT,10000,3,0.518,1.123,49288
SMT,10000,4,0.574,1.194,49288
