scheme,size,rep,gen_ms,verify_ms,size_bytes
VESTA-256,500,0,17.89,0.372,339
VESTA-2048,500,0,411.857,1.558,1683
MHT,500,0,0.037,0.057,2286
VESTA-256,500,1,16.963,0.33,339
VESTA-2048,500,1,413.357,1.341,1683
MHT,500,1,0.039,0.048,2286
VESTA-256,500,2,17.961,0.341,338
VESTA-2048,500,2,404.54,1.717,1682
MHT,500,2,0.036,0.063,2286
VESTA-256,500,3,16.301,0.315,339
VESTA-2048,500,3,410.685,1.591,1683
MHT,500,3,0.042,0.06,2290
VESTA-256,500,4,15.665,0.32,339
VESTA-2048,500,4,404.64,1.405,1683
MHT,500,4,0.109,0.059,2286
VESTA-256,1000,0,32.275,0.327,339
VESTA-2048,1000,0,813.189,1.42,1683
MHT,1000,0,0.037,0.053,2517
VESTA-256,1000,1,31.718,0.325,339
VESTA-2048,1000,1,805.365,1.568,1683
MHT,1000,1,0.043,0.079,2517
VESTA-256,1000,2,35.276,0.367,339
VESTA-2048,1000,2,810.452,1.447,1683
MHT,1000,2,0.058,0.059,2517
VESTA-256,1000,3,32.206,0.363,339
VESTA-2048,1000,3,802.015,1.438,1683
MHT,1000,3,0.034,0.055,2517
VESTA-256,1000,4,29.537,0.394,339
VESTA-2048,1000,4,822.526,1.282,1683
MHT,1000,4,0.05,0.057,2517
VESTA-256,2000,0,68.212,0.529,346
VESTA-2048,2000,0,1605.066,1.481,1690
MHT,2000,0,0.073,0.062,2852
VESTA-256,2000,1,68.339,0.496,346
VESTA-2048,2000,1,1560.298,1.501,1690
MHT,2000,1,0.065,0.055,2841
VESTA-256,2000,2,62.387,0.474,346
VESTA-2048,2000,2,1616.187,1.663,1690
MHT,2000,2,0.101,0.064,2766
VESTA-256,2000,3,67.405,0.537,346
VESTA-2048,2000,3,1603.562,1.549,1690
MHT,2000,3,0.088,0.064,2766
VESTA-256,2000,4,65.999,0.452,346
VESTA-2048,2000,4,1630.038,1.713,1690
MHT,2000,4,0.073,0.077,2844
VESTA-256,5000,0,156.115,0.485,346
VESTA-2048,5000,0,3993.921,1.46,1690
MHT,5000,0,0.05,0.085,3394
VESTA-256,5000,1,158.62,0.523,346
VESTA-2048,5000,1,4009.578,1.735,1690
MHT,5000,1,0.049,0.078,3290
VESTA-256,5000,2,162.906,0.437,346
VESTA-2048,5000,2,4009.49,1.575,1690
MHT,5000,2,0.046,0.074,3313
VESTA-256,5000,3,154.316,0.434,346
VESTA-2048,5000,3,4042.169,1.568,1690
MHT,5000,3,0.052,0.07,3297
VESTA-256,5000,4,155.988,0.493,346
VESTA-2048,5000,4,4067.483,1.522,1690
MHT,5000,4,0.045,0.074,3395
VESTA-256,10000,0,322.192,0.538,346
VESTA-2048,10000,0,7967.44,1.809,1690
MHT,10000,0,0.054,0.08,3549
VESTA-256,10000,1,320.806,0.545,346
VESTA-2048,10000,1,8072.82,1.673,1690
MHT,10000,1,0.057,0.087,3461
VESTA-256,10000,2,316.856,0.504,346
VESTA-2048,10000,2,7971.247,1.905,1690
MHT,10000,2,0.055,0.094,3531
VESTA-256,10000,3,317.272,0.491,346
VESTA-2048,10000,3,8068.774,1.547,1690
MHT,10000,3,0.053,0.087,3548
VESTA-256,10000,4,309.258,0.528,346
VESTA-2048,10000,4,8023.129,1.458,1690
MHT,10000,4,0.053,0.076,3548
SMT,500,0,0.357,1.352,49283
SMT,500,1,0.314,1.194,49283
SMT,500,2,0.323,1.241,49283
SMT,500,3,0.394,1.394,49283
SMT,500,4,0.325,1.205,49283
SMT,1000,0,0.337,1.205,49283
SMT,1000,1,0.352,1.235,49283
SMT,1000,2,0.388,1.309,49283
SMT,1000,3,0.335,1.166,49283
SMT,1000,4,0.321,1.118,49283
SMT,2000,0,0.479,1.291,49290
SMT,2000,1,0.446,1.098,49290
SMT,2000,2,0.408,1.261,49290
SMT,2000,3,0.412,1.165,49290
SMT,2000,4,0.564,1.113,49290
SMT,5000,0,0.573,1.438,49290
SMT,5000,1,0.484,1.299,49290
SMT,5000,2,0.525,1.256,49290
SMT,5000,3,0.554,1.208,49290
SMT,5000,4,0.62,1.119,49290
SMT,10000,0,0.667,1.275,49290
SMT,10000,1,0.563,1.363,49290
SMT,10000,2,0.492,1.296,49290
SMT,10000,3,0.509,1.228,49290
SMT,10000,4,0.586,1.18,49290
