scheme,size,rep,total_ms,amortized_ms
VESTA-256,500,0,34.7,0.0694
VESTA-256,500,1,36.4,0.0728
VESTA-256,500,2,35.1,0.0702
VESTA-256,500,3,34.3,0.0686
VESTA-256,500,4,32.3,0.0645
VESTA-256,1000,0,71.2,0.0712
VESTA-256,1000,1,71.3,0.0713
VESTA-256,1000,2,72.0,0.072
VESTA-256,1000,3,69.9,0.0699
VESTA-256,1000,4,75.9,0.0759
VESTA-256,2000,0,158.2,0.0791
VESTA-256,2000,1,153.1,0.0766
VESTA-256,2000,2,160.2,0.0801
VESTA-256,2000,3,151.1,0.0755
VESTA-256,2000,4,151.2,0.0756
VESTA-256,5000,0,428.9,0.0858
VESTA-256,5000,1,423.7,0.0847
VESTA-256,5000,2,425.0,0.085
VESTA-256,5000,3,427.1,0.0854
VESTA-256,5000,4,430.0,0.086
VESTA-256,10000,0,953.5,0.0954
VESTA-256,10000,1,961.9,0.0962
VESTA-256,10000,2,954.9,0.0955
VESTA-256,10000,3,916.7,0.0917
VESTA-256,10000,4,916.0,0.0916
VESTA-2048,500,0,724.4,1.4487
VESTA-2048,500,1,712.1,1.4241
VESTA-2048,500,2,726.9,1.4538
VESTA-2048,500,3,713.2,1.4265
VESTA-2048,500,4,734.1,1.4682
VESTA-2048,1000,0,1654.5,1.6545
VESTA-2048,1000,1,1617.5,1.6175
VESTA-2048,1000,2,1614.4,1.6144
VESTA-2048,1000,3,1588.1,1.5881
VESTA-2048,1000,4,1549.4,1.5494
VESTA-2048,2000,0,3443.0,1.7215
VESTA-2048,2000,1,3529.8,1.7649
VESTA-2048,2000,2,3358.5,1.6793
VESTA-2048,2000,3,3494.7,1.7474
VESTA-2048,2000,4,3504.5,1.7523
VESTA-2048,5000,0,9467.1,1.8934
VESTA-2048,5000,1,9847.4,1.9695
VESTA-2048,5000,2,9555.3,1.9111
VESTA-2048,5000,3,9395.2,1.879
VESTA-2048,5000,4,9597.5,1.9195
VESTA-2048,10000,0,20467.8,2.0468
VESTA-2048,10000,1,20327.0,2.0327
VESTA-2048,10000,2,20580.0,2.058
VESTA-2048,10000,3,20281.0,2.0281
VESTA-2048,10000,4,20091.8,2.0092
