scheme,size,rep,bytes
VESTA-256,500,0,15941
VESTA-2048,500,0,16165
MHT,500,0,38316
VESTA-256,500,1,15943
VESTA-2048,500,1,16167
MHT,500,1,38316
VESTA-256,500,2,15942
VESTA-2048,500,2,16166
MHT,500,2,38316
VESTA-256,1000,0,31853
VESTA-2048,1000,0,32077
MHT,1000,0,76816
VESTA-256,1000,1,31851
VESTA-2048,1000,1,32075
MHT,1000,1,76816
VESTA-256,1000,2,31852
VESTA-2048,1000,2,32076
MHT,1000,2,76816
VESTA-256,2000,0,63676
VESTA-2048,2000,0,63900
MHT,2000,0,167307
VESTA-256,2000,1,63669
VESTA-2048,2000,1,63893
MHT,2000,1,167326
VESTA-256,2000,2,63675
VESTA-2048,2000,2,63899
MHT,2000,2,167355
VESTA-256,5000,0,159135
VESTA-2048,5000,0,159359
MHT,5000,0,518625
VESTA-256,5000,1,159138
VESTA-2048,5000,1,159362
MHT,5000,1,518589
VESTA-256,5000,2,159138
VESTA-2048,5000,2,159362
MHT,5000,2,518631
VESTA-256,10000,0,318229
VESTA-2048,10000,0,318453
MHT,10000,0,1107615
VESTA-256,10000,1,318230
VESTA-2048,10000,1,318454
MHT,10000,1,1107675
VESTA-256,10000,2,318235
VESTA-2048,10000,2,318459
MHT,10000,2,1107522
SMT,500,0,4964280
SMT,500,1,4964640
SMT,500,2,4964480
SMT,1000,0,9886360
SMT,1000,1,9886800
SMT,1000,2,9886920
SMT,2000,0,19691200
SMT,2000,1,19691600
SMT,2000,2,19694320
SMT,5000,0,48966320
SMT,5000,1,48965760
SMT,5000,2,48964600
SMT,10000,0,97530880
SMT,10000,1,97527400
SMT,10000,2,97531160
