scheme,size,rep,build_ms
VESTA-256,500,0,29.824
VESTA-2048,500,0,93.094
MHT,500,0,1.158
VESTA-256,500,1,28.157
VESTA-2048,500,1,95.21
MHT,500,1,1.076
VESTA-256,500,2,29.012
VESTA-2048,500,2,88.202
MHT,500,2,0.932
VESTA-256,500,3,28.431
VESTA-2048,500,3,95.659
MHT,500,3,0.996
VESTA-256,500,4,25.751
VESTA-2048,500,4,99.041
MHT,500,4,1.04
VESTA-256,500,5,29.277
VESTA-2048,500,5,89.686
MHT,500,5,0.955
VESTA-256,500,6,29.687
VESTA-2048,500,6,97.264
MHT,500,6,1.057
VESTA-256,500,7,26.666
VESTA-2048,500,7,91.696
MHT,500,7,1.018
VESTA-256,500,8,30.475
VESTA-2048,500,8,95.377
MHT,500,8,1.155
VESTA-256,500,9,27.379
VESTA-2048,500,9,96.824
MHT,500,9,1.084
VESTA-256,1000,0,54.991
VESTA-2048,1000,0,186.174
MHT,1000,0,1.929
VESTA-256,1000,1,53.5
VESTA-2048,1000,1,183.233
MHT,1000,1,1.928
VESTA-256,1000,2,56.87
VESTA-2048,1000,2,190.563
MHT,1000,2,2.121
VESTA-256,1000,3,55.041
VESTA-2048,1000,3,193.246
MHT,1000,3,2.198
VESTA-256,1000,4,53.835
VESTA-2048,1000,4,187.129
MHT,1000,4,2.092
VESTA-256,1000,5,56.585
VESTA-2048,1000,5,190.691
MHT,1000,5,2.111
VESTA-256,1000,6,55.481
VESTA-2048,1000,6,185.662
MHT,1000,6,2.167
VESTA-256,1000,7,54.812
VESTA-2048,1000,7,194.411
MHT,1000,7,2.07
VESTA-256,1000,8,57.492
VESTA-2048,1000,8,191.365
MHT,1000,8,2.032
VESTA-256,1000,9,54.202
VESTA-2048,1000,9,190.537
MHT,1000,9,2.032
VESTA-256,2000,0,112.392
VESTA-2048,2000,0,379.48
MHT,2000,0,4.375
VESTA-256,2000,1,114.367
VESTA-2048,2000,1,396.986
MHT,2000,1,4.959
VESTA-256,2000,2,105.805
VESTA-2048,2000,2,350.468
MHT,2000,2,4.076
VESTA-256,2000,3,109.82
VESTA-2048,2000,3,376.9
MHT,2000,3,4.431
VESTA-256,2000,4,104.557
VESTA-2048,2000,4,381.749
MHT,2000,4,4.518
VESTA-256,2000,5,118.802
VESTA-2048,2000,5,381.194
MHT,2000,5,4.243
VESTA-256,2000,6,113.085
VESTA-2048,2000,6,379.713
MHT,2000,6,4.427
VESTA-256,2000,7,112.926
VESTA-2048,2000,7,379.793
MHT,2000,7,4.303
VESTA-256,2000,8,114.245
VESTA-2048,2000,8,383.734
MHT,2000,8,3.792
VESTA-256,2000,9,110.742
VESTA-2048,2000,9,382.591
MHT,2000,9,3.903
VESTA-256,5000,0,264.584
VESTA-2048,5000,0,949.481
MHT,5000,0,11.473
VESTA-256,5000,1,287.709
VESTA-2048,5000,1,949.762
MHT,5000,1,11.731
VESTA-256,5000,2,278.036
VESTA-2048,5000,2,950.521
MHT,5000,2,11.521
VESTA-256,5000,3,277.168
VESTA-2048,5000,3,938.503
MHT,5000,3,11.951
VESTA-256,5000,4,284.044
VESTA-2048,5000,4,966.44
MHT,5000,4,12.322
VESTA-256,5000,5,283.681
VESTA-2048,5000,5,968.611
MHT,5000,5,12.307
VESTA-256,5000,6,277.632
VESTA-2048,5000,6,929.1
MHT,5000,6,12.347
VESTA-256,5000,7,279.469
VESTA-2048,5000,7,962.462
MHT,5000,7,11.315
VESTA-256,5000,8,277.813
VESTA-2048,5000,8,952.289
MHT,5000,8,12.039
VESTA-256,5000,9,285.09
VESTA-2048,5000,9,939.305
MHT,5000,9,11.511
VESTA-256,10000,0,570.977
VESTA-2048,10000,0,1903.568
MHT,10000,0,25.065
VESTA-256,10000,1,569.297
VESTA-2048,10000,1,1884.218
MHT,10000,1,24.37
VESTA-256,10000,2,564.994
VESTA-2048,10000,2,1882.484
MHT,10000,2,25.462
VESTA-256,10000,3,567.957
VESTA-2048,10000,3,1857.321
