scheme,size,rep,build_ms
VESTA-256,500,0,41.597
VESTA-2048,500,0,141.51
MHT,500,0,1.802
VESTA-256,500,1,42.114
VESTA-2048,500,1,142.809
MHT,500,1,1.606
VESTA-256,500,2,47.58
VESTA-2048,500,2,158.733
MHT,500,2,1.674
VESTA-256,500,3,43.712
VESTA-2048,500,3,141.982
MHT,500,3,1.497
VESTA-256,500,4,40.577
VESTA-2048,500,4,131.728
MHT,500,4,1.489
VESTA-256,500,5,40.545
VESTA-2048,500,5,140.722
MHT,500,5,1.433
VESTA-256,500,6,37.122
VESTA-2048,500,6,130.911
MHT,500,6,1.995
VESTA-256,500,7,52.528
VESTA-2048,500,7,170.378
MHT,500,7,1.478
VESTA-256,500,8,42.532
VESTA-2048,500,8,149.267
MHT,500,8,2.546
VESTA-256,500,9,51.483
VESTA-2048,500,9,151.261
MHT,500,9,2.349
VESTA-256,1000,0,85.195
VESTA-2048,1000,0,284.231
MHT,1000,0,3.092
VESTA-256,1000,1,83.001
VESTA-2048,1000,1,278.606
MHT,1000,1,3.074
VESTA-256,1000,2,86.639
VESTA-2048,1000,2,288.562
MHT,1000,2,3.639
VESTA-256,1000,3,83.283
VESTA-2048,1000,3,290.844
MHT,1000,3,3.945
VESTA-256,1000,4,91.691
VESTA-2048,1000,4,297.617
MHT,1000,4,3.177
VESTA-256,1000,5,78.509
VESTA-2048,1000,5,231.589
MHT,1000,5,2.763
VESTA-256,1000,6,72.235
VESTA-2048,1000,6,252.698
MHT,1000,6,3.122
VESTA-256,1000,7,79.137
VESTA-2048,1000,7,224.818
MHT,1000,7,2.657
VESTA-256,1000,8,68.601
VESTA-2048,1000,8,232.926
MHT,1000,8,2.514
VESTA-256,1000,9,74.106
VESTA-2048,1000,9,242.669
MHT,1000,9,2.633
VESTA-256,2000,0,140.13
VESTA-2048,2000,0,546.013
MHT,2000,0,6.184
VESTA-256,2000,1,146.168
VESTA-2048,2000,1,491.629
MHT,2000,1,6.799
VESTA-256,2000,2,141.12
VESTA-2048,2000,2,467.421
MHT,2000,2,5.596
VESTA-256,2000,3,144.219
VESTA-2048,2000,3,470.297
MHT,2000,3,6.002
VESTA-256,2000,4,142.881
VESTA-2048,2000,4,467.011
MHT,2000,4,5.417
VESTA-256,2000,5,144.769
VESTA-2048,2000,5,452.844
MHT,2000,5,5.321
VESTA-256,2000,6,136.942
VESTA-2048,2000,6,453.981
MHT,2000,6,5.446
VESTA-256,2000,7,137.407
VESTA-2048,2000,7,443.115
MHT,2000,7,5.337
VESTA-256,2000,8,134.264
VESTA-2048,2000,8,531.584
MHT,2000,8,6.211
VESTA-256,2000,9,155.466
VESTA-2048,2000,9,654.499
MHT,2000,9,7.933
VESTA-256,5000,0,521.272
VESTA-2048,5000,0,1299.589
MHT,5000,0,14.531
VESTA-256,5000,1,373.036
VESTA-2048,5000,1,1297.768
MHT,5000,1,15.856
VESTA-256,5000,2,378.568
VESTA-2048,5000,2,1295.297
MHT,5000,2,17.048
VESTA-256,5000,3,384.355
VESTA-2048,5000,3,1655.0
MHT,5000,3,35.386
VESTA-256,5000,4,525.894
VESTA-2048,5000,4,1688.4
MHT,5000,4,26.637
VESTA-256,5000,5,532.915
VESTA-2048,5000,5,1734.524
MHT,5000,5,23.08
VESTA-256,5000,6,532.305
VESTA-2048,5000,6,1363.522
MHT,5000,6,18.324
VESTA-256,5000,7,393.288
VESTA-2048,5000,7,1512.291
MHT,5000,7,17.724
VESTA-256,5000,8,404.936
VESTA-2048,5000,8,1286.887
MHT,5000,8,15.535
VESTA-256,5000,9,371.656
VESTA-2048,5000,9,1391.075
MHT,5000,9,16.34
VESTA-256,10000,0,764.163
VESTA-2048,10000,0,2843.765
MHT,10000,0,65.062
VESTA-256,10000,1,913.753
VESTA-2048,10000,1,2631.491
MHT,10000,1,33.31
VESTA-256,10000,2,741.699
VESTA-2048,10000,2,2430.919
MHT,10000,2,31.234
VESTA-256,10000,3,738.624
VESTA-2048,10000,3,2460.394
MHT,10000,3,29.704
VESTA-256,10000,4,776.602
VESTA-2048,10000,4,2658.292
MHT,10000,4,36.894
VESTA-256,10000,5,836.737
VESTA-2048,10000,5,3144.198
MHT,10000,5,47.53
VESTA-256,10000,6,792.592
VESTA-2048,10000,6,2767.164
MHT,10000,6,33.769
VESTA-256,10000,7,813.452
VESTA-2048,10000,7,2731.306
MHT,10000,7,32.255
VESTA-256,10000,8,775.516
VESTA-2048,10000,8,2819.479
MHT,10000,8,39.842
VESTA-256,10000,9,784.933
VESTA-2048,10000,9,2738.415
MHT,10000,9,37.336
SMT,500,0,144.271
SMT,500,1,139.71
SMT,500,2,138.139
SMT,500,3,135.667
SMT,500,4,138.385
SMT,500,5,132.122
SMT,500,6,137.552
SMT,500,7,138.766
SMT,500,8,134.57
SMT,500,9,140.674
SMT,1000,0,271.41
SMT,1000,1,292.352
SMT,1000,2,282.4
SMT,1000,3,282.003
SMT,1000,4,273.781
SMT,1000,5,277.571
SMT,1000,6,277.262
SMT,1000,7,277.831
SMT,1000,8,286.653
SMT,1000,9,336.913
SMT,2000,0,647.383
SMT,2000,1,694.886
SMT,2000,2,608.533
SMT,2000,3,717.445
SMT,2000,4,699.965
SMT,2000,5,606.308
SMT,2000,6,610.282
SMT,2000,7,649.351
SMT,2000,8,638.502
SMT,2000,9,653.373
SMT,5000,0,1536.658
SMT,5000,1,1713.26
SMT,5000,2,1626.633
SMT,5000,3,1607.199
SMT,5000,4,1646.334
SMT,5000,5,1739.666
SMT,5000,6,1647.198
SMT,5000,7,1573.16
SMT,5000,8,1584.048
SMT,5000,9,1643.018
SMT,10000,0,3278.61
SMT,10000,1,3182.687
SMT,10000,2,3184.064
SMT,10000,3,3303.042
SMT,10000,4,3673.349
SMT,10000,5,3749.494
SMT,10000,6,3914.645
SMT,10000,7,3912.446
SMT,10000,8,3979.16
SMT,10000,9,4399.794
