scheme,size,rep,pi,gen_ms
VESTA-256,500,0,mem,2.545
VESTA-256,500,0,nonmem,2.886
VESTA-2048,500,0,mem,67.0191
VESTA-2048,500,0,nonmem,68.78
MHT,500,0,mem,0.0036
MHT,500,0,nonmem,0.0062
VESTA-256,500,1,mem,2.5309
VESTA-256,500,1,nonmem,2.6155
VESTA-2048,500,1,mem,69.8441
VESTA-2048,500,1,nonmem,70.3654
MHT,500,1,mem,0.0041
MHT,500,1,nonmem,0.0052
VESTA-256,500,2,mem,2.947
VESTA-256,500,2,nonmem,3.0904
VESTA-2048,500,2,mem,68.6698
VESTA-2048,500,2,nonmem,68.503
MHT,500,2,mem,0.004
MHT,500,2,nonmem,0.0053
VESTA-256,500,3,mem,2.8681
VESTA-256,500,3,nonmem,2.5207
VESTA-2048,500,3,mem,68.5305
VESTA-2048,500,3,nonmem,68.9954
MHT,500,3,mem,0.0038
MHT,500,3,nonmem,0.0051
VESTA-256,500,4,mem,3.0026
VESTA-256,500,4,nonmem,3.0488
VESTA-2048,500,4,mem,67.7429
VESTA-2048,500,4,nonmem,69.2917
MHT,500,4,mem,0.0043
MHT,500,4,nonmem,0.0048
VESTA-256,500,5,mem,2.7426
VESTA-256,500,5,nonmem,3.0231
VESTA-2048,500,5,mem,68.3221
VESTA-2048,500,5,nonmem,69.2259
MHT,500,5,mem,0.0034
MHT,500,5,nonmem,0.0047
VESTA-256,500,6,mem,2.57
VESTA-256,500,6,nonmem,2.6192
VESTA-2048,500,6,mem,67.1874
VESTA-2048,500,6,nonmem,69.0112
MHT,500,6,mem,0.0041
MHT,500,6,nonmem,0.0055
VESTA-256,500,7,mem,2.8072
VESTA-256,500,7,nonmem,2.9516
VESTA-2048,500,7,mem,68.6112
VESTA-2048,500,7,nonmem,69.7637
MHT,500,7,mem,0.0042
MHT,500,7,nonmem,0.0053
VESTA-256,500,8,mem,2.8286
VESTA-256,500,8,nonmem,2.8942
VESTA-2048,500,8,mem,69.4242
VESTA-2048,500,8,nonmem,68.7204
MHT,500,8,mem,0.0036
MHT,500,8,nonmem,0.005
VESTA-256,500,9,mem,2.8415
VESTA-256,500,9,nonmem,2.7182
VESTA-2048,500,9,mem,67.4663
VESTA-2048,500,9,nonmem,66.6044
MHT,500,9,mem,0.0036
MHT,500,9,nonmem,0.0047
VESTA-256,1000,0,mem,5.5084
VESTA-256,1000,0,nonmem,6.0057
VESTA-2048,1000,0,mem,138.2758
VESTA-2048,1000,0,nonmem,134.2112
MHT,1000,0,mem,0.0038
MHT,1000,0,nonmem,0.0052
VESTA-256,1000,1,mem,5.991
VESTA-256,1000,1,nonmem,5.6076
VESTA-2048,1000,1,mem,138.1063
VESTA-2048,1000,1,nonmem,135.9544
MHT,1000,1,mem,0.0036
MHT,1000,1,nonmem,0.0053
VESTA-256,1000,2,mem,5.681
VESTA-256,1000,2,nonmem,5.5647
VESTA-2048,1000,2,mem,136.3001
VESTA-2048,1000,2,nonmem,137.1939
MHT,1000,2,mem,0.004
MHT,1000,2,nonmem,0.0057
VESTA-256,1000,3,mem,5.698
VESTA-256,1000,3,nonmem,5.6221
VESTA-2048,1000,3,mem,136.2531
VESTA-2048,1000,3,nonmem,136.0793
MHT,1000,3,mem,0.004
MHT,1000,3,nonmem,0.0056
VESTA-256,1000,4,mem,5.1982
VESTA-256,1000,4,nonmem,5.5775
VESTA-2048,1000,4,mem,135.4395
VESTA-2048,1000,4,nonmem,137.5823
MHT,1000,4,mem,0.0035
MHT,1000,4,nonmem,0.0059
VESTA-256,1000,5,mem,5.4918
VESTA-256,1000,5,nonmem,5.6434
VESTA-2048,1000,5,mem,137.4376
VESTA-2048,1000,5,nonmem,134.7459
MHT,1000,5,mem,0.0038
MHT,1000,5,nonmem,0.0054
VESTA-256,1000,6,mem,5.923
VESTA-256,1000,6,nonmem,5.4551
VESTA-2048,1000,6,mem,137.3911
VESTA-2048,1000,6,nonmem,138.2426
MHT,1000,6,mem,0.0041
MHT,1000,6,nonmem,0.0054
VESTA-256,1000,7,mem,5.0383
VESTA-256,1000,7,nonmem,5.1282
VESTA-2048,1000,7,mem,136.8415
VESTA-2048,1000,7,nonmem,139.5669
MHT,1000,7,mem,0.0043
