scheme,size,rep,pi,gen_ms
VESTA-256,500,0,mem,4.0087
VESTA-256,500,0,nonmem,4.316
VESTA-2048,500,0,mem,101.7511
VESTA-2048,500,0,nonmem,93.8984
MHT,500,0,mem,0.0046
MHT,500,0,nonmem,0.0065
VESTA-256,500,1,mem,3.7084
VESTA-256,500,1,nonmem,3.7936
VESTA-2048,500,1,mem,91.9065
VESTA-2048,500,1,nonmem,91.6463
MHT,500,1,mem,0.0047
MHT,500,1,nonmem,0.0064
VESTA-256,500,2,mem,3.73
VESTA-256,500,2,nonmem,3.5273
VESTA-2048,500,2,mem,93.4322
VESTA-2048,500,2,nonmem,93.1229
MHT,500,2,mem,0.0058
MHT,500,2,nonmem,0.0081
VESTA-256,500,3,mem,3.6017
VESTA-256,500,3,nonmem,3.7338
VESTA-2048,500,3,mem,99.5027
VESTA-2048,500,3,nonmem,108.4796
MHT,500,3,mem,0.006
MHT,500,3,nonmem,0.0076
VESTA-256,500,4,mem,4.3705
VESTA-256,500,4,nonmem,4.4534
VESTA-2048,500,4,mem,100.9927
VESTA-2048,500,4,nonmem,98.8564
MHT,500,4,mem,0.0049
MHT,500,4,nonmem,0.0066
VESTA-256,500,5,mem,4.3524
VESTA-256,500,5,nonmem,4.2144
VESTA-2048,500,5,mem,103.7319
VESTA-2048,500,5,nonmem,97.8232
MHT,500,5,mem,0.0048
MHT,500,5,nonmem,0.0081
VESTA-256,500,6,mem,4.4883
VESTA-256,500,6,nonmem,4.132
VESTA-2048,500,6,mem,98.1365
VESTA-2048,500,6,nonmem,97.209
MHT,500,6,mem,0.0048
MHT,500,6,nonmem,0.0081
VESTA-256,500,7,mem,3.8593
VESTA-256,500,7,nonmem,4.1912
VESTA-2048,500,7,mem,92.1839
VESTA-2048,500,7,nonmem,97.7676
MHT,500,7,mem,0.0096
MHT,500,7,nonmem,0.0128
VESTA-256,500,8,mem,4.1894
VESTA-256,500,8,nonmem,4.0552
VESTA-2048,500,8,mem,93.7784
VESTA-2048,500,8,nonmem,94.6877
MHT,500,8,mem,0.0049
MHT,500,8,nonmem,0.007
VESTA-256,500,9,mem,4.0092
VESTA-256,500,9,nonmem,3.8441
VESTA-2048,500,9,mem,96.4949
VESTA-2048,500,9,nonmem,99.5312
MHT,500,9,mem,0.0057
MHT,500,9,nonmem,0.0076
VESTA-256,1000,0,mem,7.8771
VESTA-256,1000,0,nonmem,7.9735
VESTA-2048,1000,0,mem,202.9572
VESTA-2048,1000,0,nonmem,199.6051
MHT,1000,0,mem,0.0058
MHT,1000,0,nonmem,0.0079
VESTA-256,1000,1,mem,8.4605
VESTA-256,1000,1,nonmem,8.25
VESTA-2048,1000,1,mem,193.6191
VESTA-2048,1000,1,nonmem,190.0024
MHT,1000,1,mem,0.0052
MHT,1000,1,nonmem,0.0082
VESTA-256,1000,2,mem,8.1011
VESTA-256,1000,2,nonmem,8.0322
VESTA-2048,1000,2,mem,193.8696
VESTA-2048,1000,2,nonmem,212.1877
MHT,1000,2,mem,0.0064
MHT,1000,2,nonmem,0.0076
VESTA-256,1000,3,mem,8.3755
VESTA-256,1000,3,nonmem,8.9571
VESTA-2048,1000,3,mem,205.7306
VESTA-2048,1000,3,nonmem,192.818
MHT,1000,3,mem,0.0057
MHT,1000,3,nonmem,0.007
VESTA-256,1000,4,mem,7.3557
VESTA-256,1000,4,nonmem,7.9599
VESTA-2048,1000,4,mem,184.052
VESTA-2048,1000,4,nonmem,184.2843
MHT,1000,4,mem,0.0053
MHT,1000,4,nonmem,0.0092
VESTA-256,1000,5,mem,7.4587
VESTA-256,1000,5,nonmem,7.7614
VESTA-2048,1000,5,mem,230.6045
VESTA-2048,1000,5,nonmem,212.5057
MHT,1000,5,mem,0.0054
MHT,1000,5,nonmem,0.0074
VESTA-256,1000,6,mem,8.2647
VESTA-256,1000,6,nonmem,7.7908
VESTA-2048,1000,6,mem,195.4492
VESTA-2048,1000,6,nonmem,204.0993
MHT,1000,6,mem,0.0063
MHT,1000,6,nonmem,0.0079
VESTA-256,1000,7,mem,8.1265
VESTA-256,1000,7,nonmem,7.8239
VESTA-2048,1000,7,mem,193.7797
VESTA-2048,1000,7,nonmem,231.2026
MHT,1000,7,mem,0.0058
MHT,1000,7,nonmem,0.0097
VESTA-256,1000,8,mem,8.1815
VESTA-256,1000,8,nonmem,8.412
VESTA-2048,1000,8,mem,198.9317
VESTA-2048,1000,8,nonmem,192.1105
MHT,1000,8,mem,0.0054
MHT,1000,8,nonmem,0.0076
VESTA-256,1000,9,mem,7.1166
VESTA-256,1000,9,nonmem,8.6002
VESTA-2048,1000,9,mem,212.5177
VESTA-2048,1000,9,nonmem,194.5574
MHT,1000,9,mem,0.0063
MHT,1000,9,nonmem,0.008
VESTA-256,2000,0,mem,16.4678
VESTA-256,2000,0,nonmem,15.5153
VESTA-2048,2000,0,mem,404.9937
VESTA-2048,2000,0,nonmem,397.4643
MHT,2000,0,mem,0.0056
MHT,2000,0,nonmem,0.0077
VESTA-256,2000,1,mem,17.4584
VESTA-256,2000,1,nonmem,15.3279
VESTA-2048,2000,1,mem,412.4591
VESTA-2048,2000,1,nonmem,400.7814
MHT,2000,1,mem,0.0055
MHT,2000,1,nonmem,0.0094
VESTA-256,2000,2,mem,14.0369
VESTA-256,2000,2,nonmem,14.2178
VESTA-2048,2000,2,mem,403.3511
VESTA-2048,2000,2,nonmem,396.6222
MHT,2000,2,mem,0.0071
MHT,2000,2,nonmem,0.0082
VESTA-256,2000,3,mem,17.7432
VESTA-256,2000,3,nonmem,16.8624
VESTA-2048,2000,3,mem,406.5424
VESTA-2048,2000,3,nonmem,460.2112
MHT,2000,3,mem,0.0061
MHT,2000,3,nonmem,0.0084
VESTA-256,2000,4,mem,16.9946
VESTA-256,2000,4,nonmem,16.2431
VESTA-2048,2000,4,mem,478.749
VESTA-2048,2000,4,nonmem,441.0855
MHT,2000,4,mem,0.0078
MHT,2000,4,nonmem,0.0092
VESTA-256,2000,5,mem,16.6549
VESTA-256,2000,5,nonmem,17.7788
VESTA-2048,2000,5,mem,412.0911
VESTA-2048,2000,5,nonmem,411.1557
MHT,2000,5,mem,0.0054
MHT,2000,5,nonmem,0.0075
VESTA-256,2000,6,mem,15.6712
VESTA-256,2000,6,nonmem,15.8407
VESTA-2048,2000,6,mem,396.2109
VESTA-2048,2000,6,nonmem,406.7738
MHT,2000,6,mem,0.0057
MHT,2000,6,nonmem,0.0075
VESTA-256,2000,7,mem,15.7731
VESTA-256,2000,7,nonmem,21.3767
VESTA-2048,2000,7,mem,375.2452
VESTA-2048,2000,7,nonmem,363.766
MHT,2000,7,mem,0.0066
MHT,2000,7,nonmem,0.0093
VESTA-256,2000,8,mem,16.7713
VESTA-256,2000,8,nonmem,16.5018
VESTA-2048,2000,8,mem,357.3651
VESTA-2048,2000,8,nonmem,341.3444
MHT,2000,8,mem,0.0053
MHT,2000,8,nonmem,0.008
VESTA-256,2000,9,mem,13.1932
VESTA-256,2000,9,nonmem,13.7091
VESTA-2048,2000,9,mem,361.215
VESTA-2048,2000,9,nonmem,344.1786
MHT,2000,9,mem,0.0058
MHT,2000,9,nonmem,0.0119
VESTA-256,5000,0,mem,33.7427
VESTA-256,5000,0,nonmem,33.5403
VESTA-2048,5000,0,mem,872.995
VESTA-2048,5000,0,nonmem,849.8698
MHT,5000,0,mem,0.0105
MHT,5000,0,nonmem,0.0236
VESTA-256,5000,1,mem,33.9702
VESTA-256,5000,1,nonmem,34.6359
VESTA-2048,5000,1,mem,819.7482
VESTA-2048,5000,1,nonmem,822.0074
MHT,5000,1,mem,0.0058
MHT,5000,1,nonmem,0.007
VESTA-256,5000,2,mem,32.2803
VESTA-256,5000,2,nonmem,31.4687
VESTA-2048,5000,2,mem,799.7093
VESTA-2048,5000,2,nonmem,767.3514
MHT,5000,2,mem,0.0075
MHT,5000,2,nonmem,0.0086
VESTA-256,5000,3,mem,32.0573
VESTA-256,5000,3,nonmem,30.8065
VESTA-2048,5000,3,mem,763.7779
VESTA-2048,5000,3,nonmem,793.8906
MHT,5000,3,mem,0.0068
MHT,5000,3,nonmem,0.0073
VESTA-256,5000,4,mem,30.892
VESTA-256,5000,4,nonmem,31.619
VESTA-2048,5000,4,mem,816.1844
VESTA-2048,5000,4,nonmem,868.3653
MHT,5000,4,mem,0.0066
MHT,5000,4,nonmem,0.0095
VESTA-256,5000,5,mem,36.7305
VESTA-256,5000,5,nonmem,32.3476
VESTA-2048,5000,5,mem,782.3852
VESTA-2048,5000,5,nonmem,773.0574
MHT,5000,5,mem,0.007
MHT,5000,5,nonmem,0.0081
VESTA-256,5000,6,mem,29.1994
VESTA-256,5000,6,nonmem,28.7147
VESTA-2048,5000,6,mem,767.9809
VESTA-2048,5000,6,nonmem,760.9886
MHT,5000,6,mem,0.0058
MHT,5000,6,nonmem,0.0073
VESTA-256,5000,7,mem,31.7005
VESTA-256,5000,7,nonmem,30.8848
VESTA-2048,5000,7,mem,766.1896
VESTA-2048,5000,7,nonmem,769.5662
MHT,5000,7,mem,0.0056
MHT,5000,7,nonmem,0.0067
VESTA-256,5000,8,mem,29.1892
VESTA-256,5000,8,nonmem,27.6948
VESTA-2048,5000,8,mem,753.1501
VESTA-2048,5000,8,nonmem,743.1332
MHT,5000,8,mem,0.0063
MHT,5000,8,nonmem,0.0088
VESTA-256,5000,9,mem,29.6497
VESTA-256,5000,9,nonmem,29.6341
VESTA-2048,5000,9,mem,746.1802
VESTA-2048,5000,9,nonmem,740.545
MHT,5000,9,mem,0.0059
MHT,5000,9,nonmem,0.0066
VESTA-256,10000,0,mem,57.9461
VESTA-256,10000,0,nonmem,57.2305
VESTA-2048,10000,0,mem,1473.2162
VESTA-2048,10000,0,nonmem,1466.2538
MHT,10000,0,mem,0.007
MHT,10000,0,nonmem,0.0074
VESTA-256,10000,1,mem,59.9168
VESTA-256,10000,1,nonmem,59.1318
VESTA-2048,10000,1,mem,1458.3731
VESTA-2048,10000,1,nonmem,1443.9509
MHT,10000,1,mem,0.0063
MHT,10000,1,nonmem,0.0081
VESTA-256,10000,2,mem,57.8748
VESTA-256,10000,2,nonmem,56.1621
VESTA-2048,10000,2,mem,1442.811
VESTA-2048,10000,2,nonmem,1413.3312
MHT,10000,2,mem,0.0083
MHT,10000,2,nonmem,0.0087
VESTA-256,10000,3,mem,54.4286
VESTA-256,10000,3,nonmem,57.0618
VESTA-2048,10000,3,mem,1404.5708
VESTA-2048,10000,3,nonmem,1409.5644
MHT,10000,3,mem,0.0063
MHT,10000,3,nonmem,0.0073
VESTA-256,10000,4,mem,56.9586
VESTA-256,10000,4,nonmem,56.8971
VESTA-2048,10000,4,mem,1416.0247
VESTA-2048,10000,4,nonmem,1413.4627
MHT,10000,4,mem,0.0081
MHT,10000,4,nonmem,0.009
VESTA-256,10000,5,mem,57.5383
VESTA-256,10000,5,nonmem,56.4177
VESTA-2048,10000,5,mem,1409.6381
VESTA-2048,10000,5,nonmem,1403.7887
MHT,10000,5,mem,0.0081
MHT,10000,5,nonmem,0.008
VESTA-256,10000,6,mem,55.3302
