scheme,size,rep,pi,verify_ms
VESTA-256,500,0,mem,0.0635
VESTA-256,500,0,nonmem,0.0699
VESTA-2048,500,0,mem,0.1934
VESTA-2048,500,0,nonmem,0.3908
MHT,500,0,mem,0.0066
MHT,500,0,nonmem,0.0224
VESTA-256,500,1,mem,0.0438
VESTA-256,500,1,nonmem,0.0622
VESTA-2048,500,1,mem,0.2381
VESTA-2048,500,1,nonmem,0.3733
MHT,500,1,mem,0.0064
MHT,500,1,nonmem,0.0152
VESTA-256,500,2,mem,0.048
VESTA-256,500,2,nonmem,0.0674
VESTA-2048,500,2,mem,0.2062
VESTA-2048,500,2,nonmem,0.3703
MHT,500,2,mem,0.0065
MHT,500,2,nonmem,0.0137
VESTA-256,500,3,mem,0.0859
VESTA-256,500,3,nonmem,0.0486
VESTA-2048,500,3,mem,0.2225
VESTA-2048,500,3,nonmem,0.3867
MHT,500,3,mem,0.0077
MHT,500,3,nonmem,0.015
VESTA-256,500,4,mem,0.0421
VESTA-256,500,4,nonmem,0.0815
VESTA-2048,500,4,mem,0.2361
VESTA-2048,500,4,nonmem,0.3862
MHT,500,4,mem,0.0073
MHT,500,4,nonmem,0.0171
VESTA-256,500,5,mem,0.0639
VESTA-256,500,5,nonmem,0.0615
VESTA-2048,500,5,mem,0.2123
VESTA-2048,500,5,nonmem,0.3682
MHT,500,5,mem,0.0067
MHT,500,5,nonmem,0.0185
VESTA-256,500,6,mem,0.0747
VESTA-256,500,6,nonmem,0.056
VESTA-2048,500,6,mem,0.1837
VESTA-2048,500,6,nonmem,0.3859
MHT,500,6,mem,0.0074
MHT,500,6,nonmem,0.0154
VESTA-256,500,7,mem,0.0632
VESTA-256,500,7,nonmem,0.1052
VESTA-2048,500,7,mem,0.2398
VESTA-2048,500,7,nonmem,0.4203
MHT,500,7,mem,0.0067
MHT,500,7,nonmem,0.0144
VESTA-256,500,8,mem,0.0602
VESTA-256,500,8,nonmem,0.0692
VESTA-2048,500,8,mem,0.2163
VESTA-2048,500,8,nonmem,0.413
MHT,500,8,mem,0.0066
MHT,500,8,nonmem,0.0169
VESTA-256,500,9,mem,0.0605
VESTA-256,500,9,nonmem,0.0611
VESTA-2048,500,9,mem,0.2146
VESTA-2048,500,9,nonmem,0.3934
MHT,500,9,mem,0.0067
MHT,500,9,nonmem,0.015
VESTA-256,1000,0,mem,0.0719
VESTA-256,1000,0,nonmem,0.0672
VESTA-2048,1000,0,mem,0.2164
VESTA-2048,1000,0,nonmem,0.3516
MHT,1000,0,mem,0.0071
MHT,1000,0,nonmem,0.0191
VESTA-256,1000,1,mem,0.0739
VESTA-256,1000,1,nonmem,0.071
VESTA-2048,1000,1,mem,0.2085
VESTA-2048,1000,1,nonmem,0.3515
MHT,1000,1,mem,0.0072
MHT,1000,1,nonmem,0.0169
VESTA-256,1000,2,mem,0.0782
VESTA-256,1000,2,nonmem,0.0649
VESTA-2048,1000,2,mem,0.2286
VESTA-2048,1000,2,nonmem,0.3604
MHT,1000,2,mem,0.01
MHT,1000,2,nonmem,0.0158
