scheme,size,rep,pi,verify_ms
VESTA-256,500,0,mem,0.1045
VESTA-256,500,0,nonmem,0.1013
VESTA-2048,500,0,mem,0.3028
VESTA-2048,500,0,nonmem,0.4782
MHT,500,0,mem,0.0085
MHT,500,0,nonmem,0.0268
VESTA-256,500,1,mem,0.0649
VESTA-256,500,1,nonmem,0.0833
VESTA-2048,500,1,mem,0.2688
VESTA-2048,500,1,nonmem,0.4684
MHT,500,1,mem,0.0101
MHT,500,1,nonmem,0.0192
VESTA-256,500,2,mem,0.0622
VESTA-256,500,2,nonmem,0.0732
VESTA-2048,500,2,mem,0.2989
VESTA-2048,500,2,nonmem,0.6267
MHT,500,2,mem,0.0112
MHT,500,2,nonmem,0.0294
VESTA-256,500,3,mem,0.0909
VESTA-256,500,3,nonmem,0.092
VESTA-2048,500,3,mem,0.3097
VESTA-2048,500,3,nonmem,0.591
MHT,500,3,mem,0.011
MHT,500,3,nonmem,0.0232
VESTA-256,500,4,mem,0.0648
VESTA-256,500,4,nonmem,0.1295
VESTA-2048,500,4,mem,0.3368
VESTA-2048,500,4,nonmem,0.5361
MHT,500,4,mem,0.0092
MHT,500,4,nonmem,0.0217
VESTA-256,500,5,mem,0.1155
VESTA-256,500,5,nonmem,0.1776
VESTA-2048,500,5,mem,0.3352
VESTA-2048,500,5,nonmem,0.5583
MHT,500,5,mem,0.0102
MHT,500,5,nonmem,0.0229
VESTA-256,500,6,mem,0.1038
VESTA-256,500,6,nonmem,0.141
VESTA-2048,500,6,mem,0.2989
VESTA-2048,500,6,nonmem,0.5024
MHT,500,6,mem,0.0094
MHT,500,6,nonmem,0.0211
VESTA-256,500,7,mem,0.0731
VESTA-256,500,7,nonmem,0.134
VESTA-2048,500,7,mem,0.2864
VESTA-2048,500,7,nonmem,0.6139
MHT,500,7,mem,0.0204
MHT,500,7,nonmem,0.0414
VESTA-256,500,8,mem,0.0862
VESTA-256,500,8,nonmem,0.1012
VESTA-2048,500,8,mem,0.2538
VESTA-2048,500,8,nonmem,0.5088
MHT,500,8,mem,0.0093
MHT,500,8,nonmem,0.0258
VESTA-256,500,9,mem,0.0921
VESTA-256,500,9,nonmem,0.0841
VESTA-2048,500,9,mem,0.3128
VESTA-2048,500,9,nonmem,0.5685
MHT,500,9,mem,0.01
MHT,500,9,nonmem,0.0223
VESTA-256,1000,0,mem,0.096
VESTA-256,1000,0,nonmem,0.1149
VESTA-2048,1000,0,mem,0.3316
VESTA-2048,1000,0,nonmem,0.7314
MHT,1000,0,mem,0.0111
MHT,1000,0,nonmem,0.0299
VESTA-256,1000,1,mem,0.1371
VESTA-256,1000,1,nonmem,0.1111
VESTA-2048,1000,1,mem,0.2877
VESTA-2048,1000,1,nonmem,0.5259
MHT,1000,1,mem,0.012
MHT,1000,1,nonmem,0.022
VESTA-256,1000,2,mem,0.1154
VESTA-256,1000,2,nonmem,0.0974
VESTA-2048,1000,2,mem,0.3023
VESTA-2048,1000,2,nonmem,0.5155
MHT,1000,2,mem,0.0105
MHT,1000,2,nonmem,0.0244
VESTA-256,1000,3,mem,0.1121
VESTA-256,1000,3,nonmem,0.0939
VESTA-2048,1000,3,mem,0.2794
VESTA-2048,1000,3,nonmem,0.4959
MHT,1000,3,mem,0.0106
MHT,1000,3,nonmem,0.0221
VESTA-256,1000,4,mem,0.0763
VESTA-256,1000,4,nonmem,0.1191
VESTA-2048,1000,4,mem,0.3281
VESTA-2048,1000,4,nonmem,0.5413
MHT,1000,4,mem,0.0117
MHT,1000,4,nonmem,0.0236
VESTA-256,1000,5,mem,0.0929
VESTA-256,1000,5,nonmem,0.0813
VESTA-2048,1000,5,mem,0.5419
VESTA-2048,1000,5,nonmem,0.5478
MHT,1000,5,mem,0.0103
MHT,1000,5,nonmem,0.0232
VESTA-256,1000,6,mem,0.1014
VESTA-256,1000,6,nonmem,0.0886
VESTA-2048,1000,6,mem,0.381
VESTA-2048,1000,6,nonmem,0.5782
MHT,1000,6,mem,0.0113
MHT,1000,6,nonmem,0.0291
VESTA-256,1000,7,mem,0.0944
VESTA-256,1000,7,nonmem,0.1249
VESTA-2048,1000,7,mem,0.3454
VESTA-2048,1000,7,nonmem,0.5809
MHT,1000,7,mem,0.0114
MHT,1000,7,nonmem,0.0279
VESTA-256,1000,8,mem,0.0902
VESTA-256,1000,8,nonmem,0.0994
VESTA-2048,1000,8,mem,0.3254
VESTA-2048,1000,8,nonmem,0.5945
MHT,1000,8,mem,0.0111
MHT,1000,8,nonmem,0.0252
VESTA-256,1000,9,mem,0.0789
VESTA-256,1000,9,nonmem,0.0955
VESTA-2048,1000,9,mem,0.2822
VESTA-2048,1000,9,nonmem,0.5139
MHT,1000,9,mem,0.0096
MHT,1000,9,nonmem,0.0207
VESTA-256,2000,0,mem,0.1101
VESTA-256,2000,0,nonmem,0.0887
VESTA-2048,2000,0,mem,0.3062
VESTA-2048,2000,0,nonmem,0.5161
MHT,2000,0,mem,0.0115
MHT,2000,0,nonmem,0.034
VESTA-256,2000,1,mem,0.076
VESTA-256,2000,1,nonmem,0.1172
VESTA-2048,2000,1,mem,0.3796
VESTA-2048,2000,1,nonmem,0.5313
MHT,2000,1,mem,0.0131
MHT,2000,1,nonmem,0.024
VESTA-256,2000,2,mem,0.071
VESTA-256,2000,2,nonmem,0.0847
VESTA-2048,2000,2,mem,0.4033
VESTA-2048,2000,2,nonmem,0.5512
MHT,2000,2,mem,0.0144
MHT,2000,2,nonmem,0.0236
VESTA-256,2000,3,mem,0.0974
VESTA-256,2000,3,nonmem,0.0867
VESTA-2048,2000,3,mem,0.2851
VESTA-2048,2000,3,nonmem,0.5669
MHT,2000,3,mem,0.0118
MHT,2000,3,nonmem,0.0329
VESTA-256,2000,4,mem,0.0732
VESTA-256,2000,4,nonmem,0.1295
VESTA-2048,2000,4,mem,0.4052
VESTA-2048,2000,4,nonmem,0.6824
MHT,2000,4,mem,0.0191
MHT,2000,4,nonmem,0.0268
VESTA-256,2000,5,mem,0.1059
VESTA-256,2000,5,nonmem,0.0858
VESTA-2048,2000,5,mem,0.2983
VESTA-2048,2000,5,nonmem,0.4901
MHT,2000,5,mem,0.0112
MHT,2000,5,nonmem,0.0236
VESTA-256,2000,6,mem,0.0958
VESTA-256,2000,6,nonmem,0.087
VESTA-2048,2000,6,mem,0.2995
VESTA-2048,2000,6,nonmem,0.4868
MHT,2000,6,mem,0.0107
MHT,2000,6,nonmem,0.0272
VESTA-256,2000,7,mem,0.0846
VESTA-256,2000,7,nonmem,0.1514
VESTA-2048,2000,7,mem,0.3046
VESTA-2048,2000,7,nonmem,0.5846
MHT,2000,7,mem,0.0131
MHT,2000,7,nonmem,0.0314
VESTA-256,2000,8,mem,0.0913
VESTA-256,2000,8,nonmem,0.117
VESTA-2048,2000,8,mem,0.3439
VESTA-2048,2000,8,nonmem,0.5238
MHT,2000,8,mem,0.011
MHT,2000,8,nonmem,0.0251
VESTA-256,2000,9,mem,0.1127
VESTA-256,2000,9,nonmem,0.1161
VESTA-2048,2000,9,mem,0.2859
VESTA-2048,2000,9,nonmem,0.4726
MHT,2000,9,mem,0.0109
MHT,2000,9,nonmem,0.0264
VESTA-256,5000,0,mem,0.0889
VESTA-256,5000,0,nonmem,0.0959
VESTA-2048,5000,0,mem,0.2703
VESTA-2048,5000,0,nonmem,0.5479
MHT,5000,0,mem,0.013
MHT,5000,0,nonmem,0.0651
VESTA-256,5000,1,mem,0.0821
VESTA-256,5000,1,nonmem,0.091
VESTA-2048,5000,1,mem,0.2448
VESTA-2048,5000,1,nonmem,0.4058
MHT,5000,1,mem,0.0105
MHT,5000,1,nonmem,0.0226
VESTA-256,5000,2,mem,0.0677
VESTA-256,5000,2,nonmem,0.0711
VESTA-2048,5000,2,mem,0.2411
VESTA-2048,5000,2,nonmem,0.4103
MHT,5000,2,mem,0.0111
MHT,5000,2,nonmem,0.023
VESTA-256,5000,3,mem,0.073
VESTA-256,5000,3,nonmem,0.0608
VESTA-2048,5000,3,mem,0.2682
VESTA-2048,5000,3,nonmem,0.4946
MHT,5000,3,mem,0.0108
MHT,5000,3,nonmem,0.0255
VESTA-256,5000,4,mem,0.0542
VESTA-256,5000,4,nonmem,0.0896
VESTA-2048,5000,4,mem,0.2822
VESTA-2048,5000,4,nonmem,0.4356
MHT,5000,4,mem,0.0108
MHT,5000,4,nonmem,0.0462
VESTA-256,5000,5,mem,0.0837
VESTA-256,5000,5,nonmem,0.0655
VESTA-2048,5000,5,mem,0.2787
VESTA-2048,5000,5,nonmem,0.4276
MHT,5000,5,mem,0.0107
MHT,5000,5,nonmem,0.027
VESTA-256,5000,6,mem,0.06
VESTA-256,5000,6,nonmem,0.0671
VESTA-2048,5000,6,mem,0.2569
VESTA-2048,5000,6,nonmem,0.4069
MHT,5000,6,mem,0.0108
MHT,5000,6,nonmem,0.0258
VESTA-256,5000,7,mem,0.0823
VESTA-256,5000,7,nonmem,0.106
VESTA-2048,5000,7,mem,0.2195
VESTA-2048,5000,7,nonmem,0.4317
MHT,5000,7,mem,0.0095
MHT,5000,7,nonmem,0.0221
VESTA-256,5000,8,mem,0.0606
VESTA-256,5000,8,nonmem,0.0752
VESTA-2048,5000,8,mem,0.2509
VESTA-2048,5000,8,nonmem,0.4574
MHT,5000,8,mem,0.0113
MHT,5000,8,nonmem,0.0271
VESTA-256,5000,9,mem,0.0686
VESTA-256,5000,9,nonmem,0.0634
VESTA-2048,5000,9,mem,0.2418
VESTA-2048,5000,9,nonmem,0.4332
MHT,5000,9,mem,0.0104
MHT,5000,9,nonmem,0.024
VESTA-256,10000,0,mem,0.0788
VESTA-256,10000,0,nonmem,0.0716
VESTA-2048,10000,0,mem,0.2561
VESTA-2048,10000,0,nonmem,0.4472
MHT,10000,0,mem,0.0107
MHT,10000,0,nonmem,0.0239
VESTA-256,10000,1,mem,0.0573
VESTA-256,10000,1,nonmem,0.0708
VESTA-2048,10000,1,mem,0.2508
VESTA-2048,10000,1,nonmem,0.3975
MHT,10000,1,mem,0.0112
MHT,10000,1,nonmem,0.0244
VESTA-256,10000,2,mem,0.0628
VESTA-256,10000,2,nonmem,0.0746
VESTA-2048,10000,2,mem,0.2147
VESTA-2048,10000,2,nonmem,0.3699
MHT,10000,2,mem,0.0111
MHT,10000,2,nonmem,0.0256
VESTA-256,10000,3,mem,0.0684
VESTA-256,10000,3,nonmem,0.0564
VESTA-2048,10000,3,mem,0.2557
VESTA-2048,10000,3,nonmem,0.4218
MHT,10000,3,mem,0.0103
MHT,10000,3,nonmem,0.0225
VESTA-256,10000,4,mem,0.0922
VESTA-256,10000,4,nonmem,0.0862
VESTA-2048,10000,4,mem,0.2252
VESTA-2048,10000,4,nonmem,0.4338
MHT,10000,4,mem,0.0133
MHT,10000,4,nonmem,0.0266
VESTA-256,10000,5,mem,0.0431
VESTA-256,10000,5,nonmem,0.054
VESTA-2048,10000,5,mem,0.2099
VESTA-2048,10000,5,nonmem,0.374
MHT,10000,5,mem,0.0119
MHT,10000,5,nonmem,0.0268
VESTA-256,10000,6,mem,0.0461
VESTA-256,10000,6,nonmem,0.0635
VESTA-2048,10000,6,mem,0.2081
VESTA-2048,10000,6,nonmem,0.3814
MHT,10000,6,mem,0.0114
MHT,10000,6,nonmem,0.0247
VESTA-256,10000,7,mem,0.0834
VESTA-256,10000,7,nonmem,0.1005
VESTA-2048,10000,7,mem,0.203
VESTA-2048,10000,7,nonmem,0.4959
MHT,10000,7,mem,0.0145
MHT,10000,7,nonmem,0.0242
VESTA-256,10000,8,mem,0.075
VESTA-256,10000,8,nonmem,0.0876
VESTA-2048,10000,8,mem,0.1845
VESTA-2048,10000,8,nonmem,0.4242
MHT,10000,8,mem,0.0114
MHT,10000,8,nonmem,0.0248
VESTA-256,10000,9,mem,0.0718
VESTA-256,10000,9,nonmem,0.07
VESTA-2048,10000,9,mem,0.2682
VESTA-2048,10000,9,nonmem,0.4041
MHT,10000,9,mem,0.0106
MHT,10000,9,nonmem,0.0238
SMT,500,0,mem,0.2717
SMT,500,0,nonmem,0.2632
SMT,500,1,mem,0.237
SMT,500,1,nonmem,0.2369
SMT,500,2,mem,0.3192
SMT,500,2,nonmem,0.3265
SMT,500,3,mem,0.3251
SMT,500,3,nonmem,0.2787
SMT,500,4,mem,0.2377
SMT,500,4,nonmem,0.2318
SMT,500,5,mem,0.2371
SMT,500,5,nonmem,0.2175
SMT,500,6,mem,0.2114
SMT,500,6,nonmem,0.2107
SMT,500,7,mem,0.2209
SMT,500,7,nonmem,0.2437
SMT,500,8,mem,0.2235
SMT,500,8,nonmem,0.2186
SMT,500,9,mem,0.2068
SMT,500,9,nonmem,0.2027
SMT,1000,0,mem,0.2086
SMT,1000,0,nonmem,0.2139
SMT,1000,1,mem,0.1984
SMT,1000,1,nonmem,0.1996
SMT,1000,2,mem,0.2163
SMT,1000,2,nonmem,0.2052
SMT,1000,3,mem,0.2161
SMT,1000,3,nonmem,0.2042
SMT,1000,4,mem,0.2029
SMT,1000,4,nonmem,0.2086
SMT,1000,5,mem,0.2158
SMT,1000,5,nonmem,0.2066
SMT,1000,6,mem,0.2302
SMT,1000,6,nonmem,0.2249
SMT,1000,7,mem,0.2384
SMT,1000,7,nonmem,0.2389
SMT,1000,8,mem,0.2238
SMT,1000,8,nonmem,0.2453
SMT,1000,9,mem,0.2235
SMT,1000,9,nonmem,0.2234
SMT,2000,0,mem,0.215
SMT,2000,0,nonmem,0.2074
SMT,2000,1,mem,0.1997
SMT,2000,1,nonmem,0.2086
SMT,2000,2,mem,0.209
SMT,2000,2,nonmem,0.1992
SMT,2000,3,mem,0.2085
SMT,2000,3,nonmem,0.2265
SMT,2000,4,mem,0.2292
SMT,2000,4,nonmem,0.228
SMT,2000,5,mem,0.2055
SMT,2000,5,nonmem,0.2042
SMT,2000,6,mem,0.202
SMT,2000,6,nonmem,0.2256
SMT,2000,7,mem,0.2248
SMT,2000,7,nonmem,0.2022
SMT,2000,8,mem,0.2079
SMT,2000,8,nonmem,0.2218
SMT,2000,9,mem,0.1931
SMT,2000,9,nonmem,0.2005
SMT,5000,0,mem,0.2014
SMT,5000,0,nonmem,0.2277
SMT,5000,1,mem,0.2313
SMT,5000,1,nonmem,0.2269
SMT,5000,2,mem,0.2271
SMT,5000,2,nonmem,0.2095
SMT,5000,3,mem,0.2196
SMT,5000,3,nonmem,0.2299
SMT,5000,4,mem,0.2283
SMT,5000,4,nonmem,0.214
SMT,5000,5,mem,0.2104
SMT,5000,5,nonmem,0.2134
SMT,5000,6,mem,0.2022
SMT,5000,6,nonmem,0.2011
SMT,5000,7,mem,0.2162
SMT,5000,7,nonmem,0.2173
SMT,5000,8,mem,0.2029
SMT,5000,8,nonmem,0.2159
SMT,5000,9,mem,0.2235
SMT,5000,9,nonmem,0.2201
SMT,10000,0,mem,0.2044
SMT,10000,0,nonmem,0.2022
SMT,10000,1,mem,0.1978
SMT,10000,1,nonmem,0.2219
SMT,10000,2,mem,0.4417
SMT,10000,2,nonmem,0.233
SMT,10000,3,mem,0.3927
SMT,10000,3,nonmem,0.2671
SMT,10000,4,mem,0.2102
SMT,10000,4,nonmem,0.2168
SMT,10000,5,mem,0.2106
SMT,10000,5,nonmem,0.207
SMT,10000,6,mem,0.2344
SMT,10000,6,nonmem,0.2217
SMT,10000,7,mem,0.3355
SMT,10000,7,nonmem,0.2332
SMT,10000,8,mem,0.2092
SMT,10000,8,nonmem,0.2824
SMT,10000,9,mem,0.2199
SMT,10000,9,nonmem,0.2354
