scheme,size,rep,pi,size_bytes
VESTA-256,500,0,mem,52.8
VESTA-256,500,0,nonmem,77.0
VESTA-2048,500,0,mem,277.8
VESTA-2048,500,0,nonmem,301.0
MHT,500,0,mem,326.4
MHT,500,0,nonmem,664.8
VESTA-256,500,1,mem,53.2
VESTA-256,500,1,nonmem,77.1
VESTA-2048,500,1,mem,276.5
VESTA-2048,500,1,nonmem,301.1
MHT,500,1,mem,326.9
MHT,500,1,nonmem,664.6
VESTA-256,500,2,mem,53.1
VESTA-256,500,2,nonmem,77.1
VESTA-2048,500,2,mem,277.2
VESTA-2048,500,2,nonmem,301.1
MHT,500,2,mem,326.6
MHT,500,2,nonmem,661.5
VESTA-256,500,3,mem,51.2
VESTA-256,500,3,nonmem,77.0
VESTA-2048,500,3,mem,277.0
VESTA-2048,500,3,nonmem,301.0
MHT,500,3,mem,326.5
MHT,500,3,nonmem,664.5
VESTA-256,500,4,mem,54.4
VESTA-256,500,4,nonmem,77.1
VESTA-2048,500,4,mem,277.3
VESTA-2048,500,4,nonmem,301.1
MHT,500,4,mem,326.5
MHT,500,4,nonmem,664.6
VESTA-256,500,5,mem,53.9
VESTA-256,500,5,nonmem,77.0
VESTA-2048,500,5,mem,278.2
VESTA-2048,500,5,nonmem,300.9
MHT,500,5,mem,326.7
MHT,500,5,nonmem,660.9
VESTA-256,500,6,mem,54.1
VESTA-256,500,6,nonmem,76.9
VESTA-2048,500,6,mem,277.7
VESTA-2048,500,6,nonmem,300.9
MHT,500,6,mem,326.6
MHT,500,6,nonmem,664.8
VESTA-256,500,7,mem,52.8
VESTA-256,500,7,nonmem,76.9
VESTA-2048,500,7,mem,277.5
VESTA-2048,500,7,nonmem,300.9
MHT,500,7,mem,326.5
MHT,500,7,nonmem,664.2
VESTA-256,500,8,mem,55.7
VESTA-256,500,8,nonmem,76.7
VESTA-2048,500,8,mem,278.2
VESTA-2048,500,8,nonmem,300.7
MHT,500,8,mem,326.8
MHT,500,8,nonmem,664.5
VESTA-256,500,9,mem,54.3
VESTA-256,500,9,nonmem,77.0
VESTA-2048,500,9,mem,278.8
VESTA-2048,500,9,nonmem,301.0
MHT,500,9,mem,326.7
MHT,500,9,nonmem,661.5
VESTA-256,1000,0,mem,54.4
VESTA-256,1000,0,nonmem,76.9
VESTA-2048,1000,0,mem,278.4
VESTA-2048,1000,0,nonmem,300.9
MHT,1000,0,mem,359.8
MHT,1000,0,nonmem,731.4
