scheme,batch,rep,update_ms
VESTA-256,10,0,0.757
VESTA-2048,10,0,2.075
MHT,10,0,11.253
VESTA-256,50,0,2.795
VESTA-2048,50,0,9.577
MHT,50,0,12.28
VESTA-256,100,0,6.023
VESTA-2048,100,0,19.536
MHT,100,0,12.143
VESTA-256,500,0,28.679
VESTA-2048,500,0,91.859
MHT,500,0,12.93
VESTA-256,1000,0,57.414
VESTA-2048,1000,0,183.842
MHT,1000,0,14.526
VESTA-256,10,1,0.734
VESTA-2048,10,1,2.375
MHT,10,1,12.091
VESTA-256,50,1,3.051
VESTA-2048,50,1,9.54
MHT,50,1,11.983
VESTA-256,100,1,5.56
VESTA-2048,100,1,19.618
MHT,100,1,12.001
VESTA-256,500,1,28.342
VESTA-2048,500,1,95.301
MHT,500,1,13.868
VESTA-256,1000,1,55.591
VESTA-2048,1000,1,188.302
MHT,1000,1,15.39
VESTA-256,10,2,0.841
VESTA-2048,10,2,2.364
MHT,10,2,11.667
VESTA-256,50,2,3.212
VESTA-2048,50,2,10.453
MHT,50,2,10.867
VESTA-256,100,2,5.761
VESTA-2048,100,2,19.439
MHT,100,2,11.282
VESTA-256,500,2,27.666
VESTA-2048,500,2,93.071
MHT,500,2,13.7
VESTA-256,1000,2,59.82
VESTA-2048,1000,2,182.549
MHT,1000,2,12.756
VESTA-256,10,3,0.757
VESTA-2048,10,3,2.111
MHT,10,3,11.611
VESTA-256,50,3,3.146
VESTA-2048,50,3,9.665
MHT,50,3,12.287
VESTA-256,100,3,5.436
VESTA-2048,100,3,20.318
MHT,100,3,11.551
VESTA-256,500,3,26.427
VESTA-2048,500,3,94.688
MHT,500,3,13.587
VESTA-256,1000,3,53.861
VESTA-2048,1000,3,181.325
MHT,1000,3,14.954
VESTA-256,10,4,0.689
VESTA-2048,10,4,2.158
MHT,10,4,12.178
VESTA-256,50,4,2.732
VESTA-2048,50,4,9.814
MHT,50,4,11.659
VESTA-256,100,4,6.227
VESTA-2048,100,4,19.915
MHT,100,4,11.654
VESTA-256,500,4,25.803
VESTA-2048,500,4,88.928
MHT,500,4,11.876
VESTA-256,1000,4,52.176
VESTA-2048,1000,4,184.649
MHT,1000,4,14.924
VESTA-256,10,5,0.638
VESTA-2048,10,5,2.043
MHT,10,5,12.046
VESTA-256,50,5,2.932
VESTA-2048,50,5,10.296
MHT,50,5,12.409
VESTA-256,100,5,5.861
VESTA-2048,100,5,17.214
MHT,100,5,12.608
VESTA-256,500,5,27.443
VESTA-2048,500,5,93.245
MHT,500,5,13.265
VESTA-256,1000,5,53.566
VESTA-2048,1000,5,181.26
MHT,1000,5,13.935
VESTA-256,10,6,0.744
VESTA-2048,10,6,2.091
MHT,10,6,11.082
VESTA-256,50,6,3.144
VESTA-2048,50,6,10.085
MHT,50,6,12.669
VESTA-256,100,6,5.185
VESTA-2048,100,6,19.241
MHT,100,6,11.758
VESTA-256,500,6,29.655
VESTA-2048,500,6,89.576
MHT,500,6,13.616
VESTA-256,1000,6,56.809
VESTA-2048,1000,6,181.633
MHT,1000,6,14.968
VESTA-256,10,7,0.731
VESTA-2048,10,7,2.132
MHT,10,7,11.852
VESTA-256,50,7,3.361
VESTA-2048,50,7,9.707
MHT,50,7,12.094
VESTA-256,100,7,5.749
VESTA-2048,100,7,19.273
MHT,100,7,11.712
VESTA-256,500,7,25.989
VESTA-2048,500,7,91.896
MHT,500,7,12.988
VESTA-256,1000,7,56.152
VESTA-2048,1000,7,188.046
MHT,1000,7,15.033
VESTA-256,10,8,0.815
VESTA-2048,10,8,2.358
MHT,10,8,11.586
VESTA-256,50,8,3.254
VESTA-2048,50,8,9.226
MHT,50,8,11.636
VESTA-256,100,8,5.436
VESTA-2048,100,8,17.993
MHT,100,8,12.025
VESTA-256,500,8,26.664
VESTA-2048,500,8,94.231
MHT,500,8,12.866
VESTA-256,1000,8,57.713
VESTA-2048,1000,8,182.045
MHT,1000,8,14.096
VESTA-256,10,9,0.75
VESTA-2048,10,9,2.21
MHT,10,9,12.701
VESTA-256,50,9,3.213
VESTA-2048,50,9,9.764
MHT,50,9,12.655
VESTA-256,100,9,5.321
VESTA-2048,100,9,19.598
MHT,100,9,12.318
VESTA-256,500,9,27.682
VESTA-2048,500,9,88.924
MHT,500,9,12.838
VESTA-256,1000,9,52.001
VESTA-2048,1000,9,182.782
MHT,1000,9,15.717
SMT,10,0,2.991
SMT,50,0,15.249
SMT,100,0,31.229
SMT,500,0,170.035
SMT,1000,0,319.036
SMT,10,1,3.135
SMT,50,1,15.834
SMT,100,1,29.894
SMT,500,1,179.98
SMT,1000,1,325.076
SMT,10,2,3.426
SMT,50,2,15.72
SMT,100,2,30.027
SMT,500,2,182.63
SMT,1000,2,318.262
SMT,10,3,3.075
SMT,50,3,14.686
SMT,100,3,29.807
SMT,500,3,166.095
SMT,1000,3,325.817
SMT,10,4,2.794
SMT,50,4,14.969
SMT,100,4,30.698
SMT,500,4,167.908
SMT,1000,4,318.2
SMT,10,5,2.934
SMT,50,5,16.24
SMT,100,5,29.807
SMT,500,5,169.376
SMT,1000,5,320.558
SMT,10,6,2.693
SMT,50,6,14.57
SMT,100,6,29.562
SMT,500,6,169.933
SMT,1000,6,321.935
SMT,10,7,2.884
SMT,50,7,14.7
SMT,100,7,28.454
SMT,500,7,178.411
SMT,1000,7,313.104
SMT,10,8,3.097
SMT,50,8,14.506
SMT,100,8,32.107
SMT,500,8,172.718
SMT,1000,8,323.863
SMT,10,9,3.02
SMT,50,9,14.337
SMT,100,9,29.935
SMT,500,9,169.547
SMT,1000,9,324.628
