scheme,batch,rep,update_ms
VESTA-256,10,0,0.887
VESTA-2048,10,0,2.235
MHT,10,0,11.817
VESTA-256,50,0,3.897
VESTA-2048,50,0,9.893
MHT,50,0,12.815
VESTA-256,100,0,6.243
VESTA-2048,100,0,18.207
MHT,100,0,12.31
VESTA-256,500,0,29.126
VESTA-2048,500,0,95.168
MHT,500,0,15.576
VESTA-256,1000,0,55.405
VESTA-2048,1000,0,196.907
MHT,1000,0,15.8
VESTA-256,10,1,0.743
VESTA-2048,10,1,2.392
MHT,10,1,11.907
VESTA-256,50,1,3.113
VESTA-2048,50,1,10.09
MHT,50,1,12.682
VESTA-256,100,1,6.249
VESTA-2048,100,1,19.16
MHT,100,1,12.551
VESTA-256,500,1,26.342
VESTA-2048,500,1,91.408
MHT,500,1,13.645
VESTA-256,1000,1,59.976
VESTA-2048,1000,1,187.94
MHT,1000,1,15.329
VESTA-256,10,2,0.712
VESTA-2048,10,2,2.369
MHT,10,2,12.757
VESTA-256,50,2,3.081
VESTA-2048,50,2,9.404
MHT,50,2,12.172
VESTA-256,100,2,6.551
VESTA-2048,100,2,19.303
MHT,100,2,11.774
VESTA-256,500,2,30.911
VESTA-2048,500,2,95.893
MHT,500,2,13.712
VESTA-256,1000,2,54.26
VESTA-2048,1000,2,191.56
MHT,1000,2,14.062
VESTA-256,10,3,0.731
VESTA-2048,10,3,2.16
MHT,10,3,12.268
VESTA-256,50,3,3.342
VESTA-2048,50,3,8.49
MHT,50,3,11.012
VESTA-256,100,3,7.019
VESTA-2048,100,3,19.453
MHT,100,3,12.674
VESTA-256,500,3,27.234
VESTA-2048,500,3,95.369
MHT,500,3,13.291
VESTA-256,1000,3,55.718
VESTA-2048,1000,3,187.02
MHT,1000,3,14.292
VESTA-256,10,4,0.778
VESTA-2048,10,4,2.326
MHT,10,4,12.301
VESTA-256,50,4,3.286
VESTA-2048,50,4,10.033
MHT,50,4,12.136
VESTA-256,100,4,5.837
VESTA-2048,100,4,19.436
MHT,100,4,12.979
VESTA-256,500,4,26.272
VESTA-2048,500,4,96.297
MHT,500,4,13.812
VESTA-256,1000,4,60.686
VESTA-2048,1000,4,181.486
MHT,1000,4,14.991
VESTA-256,10,5,0.707
VESTA-2048,10,5,2.137
MHT,10,5,12.064
VESTA-256,50,5,2.977
VESTA-2048,50,5,9.105
MHT,50,5,12.647
VESTA-256,100,5,6.951
