[E1] ADS construction time (EverySender)
  E1 n=500 rep=0 VESTA: 113.8 ms
  E1 n=500 rep=0 MHT: 1.3 ms
  E1 n=500 rep=0 SMT: 146.8 ms
  E1 n=500 rep=1 VESTA: 110.8 ms
  E1 n=500 rep=1 MHT: 1.3 ms
  E1 n=500 rep=1 SMT: 133.6 ms
  E1 n=500 rep=2 VESTA: 106.3 ms
  E1 n=500 rep=2 MHT: 1.2 ms
  E1 n=500 rep=2 SMT: 136.8 ms
  E1 n=500 rep=3 VESTA: 108.0 ms
  E1 n=500 rep=3 MHT: 1.1 ms
  E1 n=500 rep=3 SMT: 141.6 ms
  E1 n=500 rep=4 VESTA: 110.0 ms
  E1 n=500 rep=4 MHT: 1.2 ms
  E1 n=500 rep=4 SMT: 151.7 ms
  E1 n=500 rep=5 VESTA: 114.8 ms
  E1 n=500 rep=5 MHT: 1.3 ms
  E1 n=500 rep=5 SMT: 152.5 ms
  E1 n=500 rep=6 VESTA: 115.1 ms
  E1 n=500 rep=6 MHT: 1.4 ms
  E1 n=500 rep=6 SMT: 152.2 ms
  E1 n=500 rep=7 VESTA: 121.3 ms
  E1 n=500 rep=7 MHT: 1.3 ms
  E1 n=500 rep=7 SMT: 144.0 ms
  E1 n=500 rep=8 VESTA: 111.0 ms
  E1 n=500 rep=8 MHT: 1.2 ms
  E1 n=500 rep=8 SMT: 135.8 ms
  E1 n=500 rep=9 VESTA: 112.1 ms
  E1 n=500 rep=9 MHT: 1.4 ms
  E1 n=500 rep=9 SMT: 139.2 ms
  E1 n=1000 rep=0 VESTA: 221.3 ms
  E1 n=1000 rep=0 MHT: 2.4 ms
  E1 n=1000 rep=0 SMT: 291.6 ms
  E1 n=1000 rep=1 VESTA: 219.1 ms
  E1 n=1000 rep=1 MHT: 2.4 ms
  E1 n=1000 rep=1 SMT: 333.7 ms
  E1 n=1000 rep=2 VESTA: 247.2 ms
  E1 n=1000 rep=2 MHT: 2.7 ms
  E1 n=1000 rep=2 SMT: 306.6 ms
  E1 n=1000 rep=3 VESTA: 219.9 ms
  E1 n=1000 rep=3 MHT: 2.5 ms
  E1 n=1000 rep=3 SMT: 285.1 ms
  E1 n=1000 rep=4 VESTA: 216.0 ms
  E1 n=1000 rep=4 MHT: 2.3 ms
  E1 n=1000 rep=4 SMT: 342.6 ms
  E1 n=1000 rep=5 VESTA: 267.1 ms
  E1 n=1000 rep=5 MHT: 3.2 ms
  E1 n=1000 rep=5 SMT: 378.2 ms
  E1 n=1000 rep=6 VESTA: 273.5 ms
  E1 n=1000 rep=6 MHT: 2.6 ms
  E1 n=1000 rep=6 SMT: 361.0 ms
  E1 n=1000 rep=7 VESTA: 248.4 ms
  E1 n=1000 rep=7 MHT: 2.6 ms
  E1 n=1000 rep=7 SMT: 359.1 ms
  E1 n=1000 rep=8 VESTA: 235.6 ms
  E1 n=1000 rep=8 MHT: 2.8 ms
  E1 n=1000 rep=8 SMT: 326.8 ms
  E1 n=1000 rep=9 VESTA: 267.1 ms
  E1 n=1000 rep=9 MHT: 3.3 ms
  E1 n=1000 rep=9 SMT: 356.5 ms
  E1 n=2000 rep=0 VESTA: 560.1 ms
  E1 n=2000 rep=0 MHT: 6.6 ms
  E1 n=2000 rep=0 SMT: 677.1 ms
  E1 n=2000 rep=1 VESTA: 485.7 ms
  E1 n=2000 rep=1 MHT: 5.9 ms
  E1 n=2000 rep=1 SMT: 682.4 ms
  E1 n=2000 rep=2 VESTA: 515.7 ms
